Age,Work_Experience,Family_Size,Gender_Female,Gender_Male,Ever_Married_No,Ever_Married_Yes,Graduated_No,Graduated_Yes,Profession_Freq,Spending_Score_Freq,Category_Freq,Segmentation_Freq
42,5.0,2.0,True,False,False,True,False,True,3480,6494,7018,2442
42,8.0,2.0,False,True,False,True,True,False,775,6494,7018,3027
48,1.0,4.0,False,True,False,True,False,True,3480,2599,269,2442
59,7.0,2.0,False,True,False,True,False,True,3480,6494,7018,2442
41,1.0,3.0,False,True,False,True,False,True,775,2599,7018,2818
31,0.0,2.0,True,False,False,True,False,True,3480,2599,7018,2818
49,1.0,5.0,True,False,False,True,False,True,3480,1602,7018,2408
67,1.0,2.0,False,True,False,True,False,True,775,6494,7018,2818
35,4.0,2.0,False,True,False,True,True,False,3480,2599,7018,2408
26,0.0,3.0,True,False,True,False,False,True,1750,6494,7018,2442
19,9.0,3.0,False,True,True,False,True,False,1750,6494,1089,3027
25,6.0,8.0,True,False,False,True,True,False,935,2599,1475,3027
39,4.0,2.0,True,False,False,True,False,True,1750,6494,7018,2818
63,0.0,2.0,False,True,False,True,False,True,1250,6494,7018,2818
23,8.0,3.0,False,True,True,False,True,False,1750,6494,7018,3027
23,0.0,3.0,True,False,True,False,True,False,1750,6494,1089,3027
53,2.0,1.0,True,False,False,True,False,True,3480,6494,7018,2442
33,0.0,2.0,False,True,True,False,False,True,930,6494,7018,2408
50,1.0,4.0,True,False,False,True,True,False,935,2599,563,2408
69,0.0,2.0,True,False,False,True,False,True,935,6494,1475,2408
37,2.0,1.0,False,True,True,False,False,True,3480,6494,7018,2408
20,3.0,4.0,True,False,True,False,True,False,403,6494,269,2442
85,0.0,1.0,True,False,True,False,True,False,844,1602,1089,2442
49,1.0,4.0,True,False,False,True,False,True,930,2599,7018,2442
18,0.0,3.0,False,True,True,False,True,False,1750,6494,1089,3027
52,0.0,2.0,True,False,False,True,False,True,930,2599,7018,2442
25,1.0,2.0,False,True,False,True,True,False,930,2599,1475,2408
56,1.0,2.0,False,True,False,True,True,False,775,1602,7018,2818
62,0.0,1.0,False,True,True,False,False,True,3480,6494,7018,2818
35,0.0,3.0,True,False,True,False,False,True,3480,6494,7018,2408
28,0.0,2.0,False,True,False,True,False,True,935,2599,7018,2818
28,7.0,3.0,True,False,True,False,False,True,3480,6494,7018,2818
20,0.0,5.0,False,True,True,False,True,False,1750,6494,269,3027
27,8.0,1.0,True,False,True,False,True,False,328,6494,1089,3027
56,1.0,1.0,True,False,True,False,True,False,935,6494,7018,2818
45,4.0,4.0,False,True,False,True,False,True,3480,2599,7018,2408
25,1.0,4.0,False,True,True,False,False,True,1750,6494,1475,2408
40,1.0,1.0,False,True,True,False,True,False,403,6494,1475,3027
25,1.0,2.0,True,False,False,True,False,True,1750,6494,7018,3027
74,1.0,2.0,True,False,False,True,True,False,844,1602,7018,3027
23,0.0,4.0,True,False,True,False,True,False,1750,6494,7018,3027
67,0.0,2.0,True,False,False,True,False,True,844,1602,7018,2408
21,0.0,4.0,False,True,True,False,True,False,1750,6494,7018,3027
38,9.0,1.0,True,False,True,False,False,True,3480,6494,1089,2818
28,0.0,4.0,False,True,True,False,True,False,1750,6494,563,2442
32,1.0,5.0,True,False,True,False,True,False,1750,6494,269,2408
33,0.0,4.0,True,False,True,False,False,True,3480,6494,7018,3027
56,1.0,4.0,True,False,False,True,True,False,844,1602,1475,2408
53,1.0,2.0,True,False,False,True,False,True,3480,6494,7018,2442
57,1.0,5.0,False,True,False,True,True,False,775,1602,7018,2442
59,0.0,3.0,True,False,False,True,False,True,3480,2599,7018,2442
25,1.0,4.0,True,False,False,True,False,True,1750,1602,1475,2818
59,0.0,6.0,False,True,False,True,False,True,3480,2599,7018,2442
36,0.0,4.0,True,False,False,True,False,True,3480,6494,7018,2442
37,7.0,2.0,False,True,False,True,False,True,1250,6494,7018,2818
22,1.0,3.0,False,True,True,False,True,False,930,6494,563,3027
43,1.0,2.0,False,True,False,True,False,True,3480,6494,7018,2408
41,1.0,2.0,False,True,False,True,False,True,3480,6494,1475,2818
21,0.0,5.0,True,False,True,False,True,False,935,6494,563,2408
49,1.0,5.0,True,False,True,False,True,False,935,6494,269,2818
38,8.0,1.0,False,True,True,False,False,True,930,6494,563,2408
47,1.0,4.0,False,True,False,True,True,False,3480,2599,7018,2818
70,1.0,3.0,False,True,False,True,False,True,844,1602,7018,2442
31,1.0,4.0,True,False,True,False,True,False,935,6494,7018,2408
82,0.0,2.0,True,False,False,True,True,False,844,2599,7018,2818
51,1.0,1.0,True,False,False,True,True,False,775,6494,7018,2818
42,11.0,1.0,True,False,True,False,True,False,328,6494,7018,2818
38,8.0,3.0,False,True,True,False,False,True,3480,6494,563,2818
18,0.0,4.0,False,True,False,True,True,False,775,1602,7018,2818
50,6.0,3.0,False,True,False,True,False,True,3480,2599,7018,2442
46,1.0,3.0,True,False,True,False,False,True,930,6494,1089,2818
72,1.0,3.0,True,False,False,True,True,False,844,1602,7018,3027
33,1.0,4.0,True,False,True,False,True,False,935,6494,7018,2442
25,1.0,7.0,True,False,True,False,True,False,328,6494,1475,2408
75,2.0,2.0,True,False,False,True,True,False,1250,1602,563,3027
72,1.0,1.0,False,True,True,False,False,True,3480,6494,7018,2408
72,0.0,3.0,True,False,False,True,False,True,3480,2599,1475,2442
36,6.0,6.0,False,True,False,True,False,True,1250,6494,1475,2818
40,1.0,2.0,False,True,False,True,False,True,3480,6494,7018,2818
28,0.0,4.0,True,False,True,False,False,True,1250,6494,7018,2442
28,0.0,3.0,True,False,True,False,False,True,930,6494,7018,3027
19,0.0,3.0,False,True,True,False,True,False,1250,1602,1475,3027
43,0.0,2.0,False,True,False,True,False,True,3480,6494,1475,2408
35,1.0,2.0,True,False,False,True,False,True,3480,2599,7018,2408
65,1.0,2.0,False,True,False,True,False,True,844,1602,7018,2408
52,7.0,4.0,False,True,False,True,False,True,775,1602,1475,2442
40,1.0,1.0,True,False,True,False,False,True,3480,6494,7018,2408
69,9.0,3.0,True,False,False,True,True,False,935,6494,7018,2818
22,3.0,3.0,True,False,True,False,True,False,1750,6494,7018,3027
47,1.0,4.0,False,True,False,True,False,True,775,2599,7018,2442
29,1.0,2.0,False,True,False,True,False,True,403,1602,1089,2818
46,1.0,3.0,False,True,False,True,False,True,3480,2599,1089,2442
32,1.0,2.0,False,True,True,False,False,True,3480,6494,7018,2818
38,0.0,1.0,True,False,True,False,False,True,1750,6494,563,2442
59,0.0,1.0,False,True,False,True,False,True,3480,6494,7018,2408
26,1.0,1.0,True,False,True,False,False,True,1250,6494,7018,3027
26,1.0,2.0,False,True,True,False,False,True,1750,6494,1089,2818
28,0.0,1.0,False,True,True,False,True,False,403,6494,1089,3027
53,1.0,3.0,True,False,False,True,False,True,935,2599,7018,2442
43,1.0,1.0,True,False,True,False,False,True,1250,6494,7018,2408
27,1.0,3.0,False,True,True,False,True,False,930,6494,7018,3027
32,1.0,8.0,True,False,True,False,True,False,3480,6494,7018,2442
26,0.0,4.0,False,True,True,False,True,False,935,6494,1475,3027
31,0.0,2.0,True,False,True,False,True,False,1250,6494,7018,3027
39,1.0,3.0,False,True,False,True,False,True,775,1602,1089,2408
43,1.0,3.0,True,False,False,True,True,False,935,6494,269,2818
25,1.0,2.0,False,True,False,True,True,False,930,6494,167,2818
40,3.0,3.0,False,True,False,True,False,True,3480,1602,7018,2818
40,7.0,2.0,True,False,False,True,False,True,1250,2599,1089,2408
63,1.0,3.0,False,True,False,True,False,True,1250,2599,7018,2442
27,1.0,2.0,True,False,False,True,False,True,1750,6494,7018,3027
27,1.0,3.0,False,True,True,False,False,True,1750,6494,7018,3027
19,1.0,2.0,True,False,True,False,True,False,1750,6494,7018,3027
86,0.0,2.0,True,False,False,True,False,True,844,1602,7018,2408
41,1.0,2.0,False,True,False,True,False,True,403,1602,7018,2408
27,4.0,2.0,True,False,False,True,False,True,3480,2599,1089,2442
70,0.0,2.0,True,False,False,True,True,False,930,2599,7018,2408
53,8.0,4.0,True,False,False,True,True,False,935,2599,1475,2408
49,1.0,4.0,True,False,False,True,True,False,935,2599,1475,2408
55,3.0,4.0,False,True,False,True,True,False,775,6494,1475,3027
57,0.0,4.0,True,False,False,True,False,True,935,2599,563,2442
83,1.0,1.0,False,True,False,True,True,False,844,6494,1475,2408
43,0.0,4.0,False,True,False,True,True,False,775,1602,7018,2818
36,6.0,3.0,False,True,False,True,True,False,930,6494,7018,2818
74,0.0,2.0,False,True,False,True,False,True,844,6494,7018,2442
30,0.0,4.0,True,False,True,False,True,False,328,6494,7018,3027
37,5.0,2.0,True,False,True,False,False,True,3480,6494,7018,2408
22,0.0,1.0,True,False,True,False,True,False,403,6494,114,2408
19,0.0,4.0,False,True,True,False,True,False,1750,6494,7018,3027
70,4.0,2.0,False,True,False,True,False,True,935,1602,7018,2408
89,13.0,1.0,False,True,False,True,False,True,844,6494,7018,2818
18,1.0,4.0,False,True,True,False,True,False,1750,6494,7018,3027
25,6.0,1.0,False,True,True,False,False,True,930,6494,563,3027
45,4.0,1.0,True,False,True,False,False,True,3480,6494,1089,2818
35,3.0,1.0,True,False,True,False,False,True,3480,6494,1475,2818
37,7.0,1.0,True,False,False,True,True,False,935,6494,1475,3027
39,4.0,2.0,True,False,False,True,True,False,935,2599,7018,2408
32,1.0,5.0,True,False,True,False,False,True,1750,6494,1475,3027
62,2.0,3.0,True,False,False,True,False,True,3480,2599,7018,2442
58,0.0,4.0,True,False,False,True,False,True,935,2599,1475,2408
32,1.0,4.0,True,False,True,False,True,False,935,6494,7018,2442
25,0.0,5.0,False,True,True,False,True,False,1750,6494,7018,2442
56,0.0,4.0,True,False,False,True,False,True,3480,2599,7018,2442
36,10.0,2.0,True,False,True,False,False,True,1250,6494,7018,2818
30,8.0,3.0,True,False,True,False,True,False,1750,6494,7018,2818
19,1.0,5.0,False,True,True,False,True,False,1750,6494,7018,3027
27,0.0,2.0,False,True,True,False,False,True,1750,6494,7018,2818
38,14.0,1.0,True,False,True,False,False,True,930,6494,7018,2818
46,8.0,2.0,False,True,False,True,False,True,3480,2599,7018,2442
29,3.0,1.0,False,True,True,False,False,True,3480,6494,7018,2408
51,1.0,4.0,False,True,False,True,True,False,1250,2599,269,2408
55,0.0,1.0,False,True,False,True,True,False,3480,6494,7018,2818
69,1.0,1.0,True,False,False,True,False,True,935,6494,1089,2818
26,1.0,8.0,True,False,True,False,True,False,1750,6494,269,2442
83,0.0,3.0,True,False,False,True,False,True,844,6494,7018,2818
39,9.0,1.0,True,False,True,False,False,True,1750,6494,7018,3027
35,9.0,1.0,False,True,False,True,False,True,3480,6494,7018,2818
19,2.0,5.0,False,True,False,True,True,False,403,1602,7018,2442
60,1.0,4.0,True,False,False,True,False,True,3480,1602,7018,2442
35,1.0,4.0,False,True,False,True,False,True,3480,2599,7018,2442
53,1.0,1.0,True,False,True,False,False,True,935,6494,7018,2408
86,1.0,1.0,True,False,False,True,True,False,844,6494,7018,2408
29,1.0,3.0,True,False,True,False,True,False,1750,6494,7018,2408
26,0.0,1.0,True,False,True,False,True,False,930,6494,7018,3027
36,8.0,1.0,False,True,True,False,False,True,935,6494,7018,2818
22,0.0,4.0,True,False,True,False,True,False,328,6494,7018,3027
19,0.0,5.0,False,True,True,False,True,False,403,6494,7018,2818
20,1.0,3.0,True,False,False,True,False,True,844,2599,1089,2818
43,3.0,3.0,False,True,True,False,False,True,1750,6494,7018,3027
42,1.0,3.0,True,False,True,False,False,True,3480,6494,7018,2818
43,1.0,2.0,False,True,True,False,False,True,1250,6494,1475,2818
50,4.0,3.0,True,False,False,True,False,True,935,1602,7018,2408
25,1.0,2.0,False,True,True,False,False,True,1250,6494,7018,2818
61,1.0,2.0,False,True,False,True,True,False,3480,1602,7018,2408
28,0.0,2.0,True,False,False,True,False,True,1750,2599,7018,2818
38,1.0,1.0,False,True,True,False,False,True,3480,6494,7018,3027
25,12.0,3.0,False,True,True,False,True,False,775,6494,7018,2818
18,9.0,5.0,True,False,True,False,True,False,1750,6494,1475,3027
43,1.0,5.0,False,True,False,True,False,True,1250,2599,114,2442
27,8.0,1.0,True,False,True,False,False,True,3480,6494,7018,2408
60,1.0,2.0,True,False,True,False,False,True,1250,6494,7018,3027
75,2.0,1.0,False,True,False,True,False,True,844,6494,7018,3027
31,1.0,4.0,True,False,True,False,True,False,930,6494,7018,3027
23,6.0,4.0,False,True,True,False,True,False,930,6494,563,3027
36,8.0,1.0,False,True,True,False,False,True,3480,6494,7018,2818
30,1.0,1.0,False,True,True,False,True,False,930,6494,1089,2442
56,1.0,2.0,False,True,False,True,True,False,3480,2599,7018,2442
52,2.0,2.0,True,False,False,True,False,True,3480,6494,7018,2442
39,0.0,1.0,False,True,False,True,False,True,1250,6494,7018,3027
35,5.0,1.0,True,False,True,False,True,False,3480,6494,7018,2818
33,0.0,2.0,False,True,False,True,True,False,935,2599,7018,2408
25,0.0,6.0,True,False,True,False,False,True,3480,6494,7018,2818
27,0.0,2.0,True,False,False,True,False,True,3480,2599,1475,2408
35,1.0,3.0,False,True,False,True,False,True,3480,1602,7018,2818
41,1.0,2.0,True,False,False,True,False,True,3480,2599,7018,2442
49,1.0,3.0,True,False,False,True,False,True,3480,2599,269,2442
46,8.0,2.0,True,False,False,True,True,False,3480,2599,7018,2408
31,1.0,2.0,True,False,True,False,True,False,1750,6494,7018,3027
49,1.0,1.0,False,True,True,False,False,True,930,6494,7018,2442
26,9.0,1.0,True,False,True,False,False,True,3480,6494,7018,2818
43,13.0,2.0,False,True,False,True,False,True,930,1602,7018,2408
30,8.0,4.0,True,False,False,True,False,True,3480,6494,7018,2818
70,1.0,4.0,True,False,False,True,False,True,3480,2599,7018,2442
28,1.0,1.0,True,False,True,False,False,True,3480,6494,7018,3027
89,3.0,1.0,True,False,False,True,True,False,844,1602,7018,3027
42,6.0,4.0,True,False,False,True,True,False,328,1602,7018,2408
37,6.0,3.0,True,False,False,True,False,True,1250,2599,1475,2818
29,1.0,3.0,False,True,False,True,True,False,775,2599,7018,3027
68,1.0,2.0,True,False,False,True,False,True,3480,1602,7018,2442
25,1.0,1.0,True,False,True,False,True,False,935,6494,1475,3027
29,1.0,1.0,False,True,True,False,True,False,1750,6494,7018,3027
48,0.0,2.0,True,False,False,True,False,True,930,6494,7018,2442
51,1.0,3.0,True,False,False,True,False,True,930,2599,167,2442
40,1.0,5.0,True,False,False,True,False,True,935,1602,563,2408
47,0.0,6.0,False,True,False,True,False,True,3480,2599,269,2408
39,1.0,3.0,False,True,False,True,False,True,775,1602,7018,2408
35,1.0,4.0,False,True,False,True,False,True,775,2599,7018,2442
19,2.0,3.0,True,False,True,False,True,False,1750,6494,7018,3027
21,7.0,3.0,True,False,True,False,True,False,1750,6494,7018,3027
46,0.0,3.0,False,True,False,True,False,True,1250,2599,1475,2408
86,0.0,1.0,False,True,False,True,False,True,844,6494,7018,2408
